yandex.ru;38;09-06-22;20:24:08;1
google.com;38;09-06-22;20:24:08;2
hhhhh;-2;09-06-22;20:24:08;3
rutracker.org;34;09-06-22;20:24:08;4
yandex.ru;38;09-06-22;20:24:11;1
google.com;38;09-06-22;20:24:11;2
hhhhh;-2;09-06-22;20:24:11;3
rutracker.org;38;09-06-22;20:24:11;4
yandex.ru;38;09-06-22;20:24:14;1
google.com;31;09-06-22;20:24:14;2
hhhhh;-2;09-06-22;20:24:14;3
rutracker.org;18;09-06-22;20:24:14;4
yandex.ru;38;09-06-22;20:24:17;1
google.com;38;09-06-22;20:24:17;2
hhhhh;-2;09-06-22;20:24:17;3
rutracker.org;38;09-06-22;20:24:17;4
yandex.ru;38;09-06-22;20:24:20;1
google.com;38;09-06-22;20:24:20;2
hhhhh;-2;09-06-22;20:24:20;3
rutracker.org;38;09-06-22;20:24:20;4
yandex.ru;38;09-06-22;20:24:23;1
google.com;38;09-06-22;20:24:23;2
hhhhh;-2;09-06-22;20:24:23;3
rutracker.org;38;09-06-22;20:24:23;4
